"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"escalator-minimal_5.nlogox"
"experiment_1"
"04/06/2026 11:59:27:187 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-19","20","-26","62"
"[run number]","pct-walkers","batch-size","[step]","avg-peak-throughput","max-rush-throughput","mean-travel-seconds","demand-pool-size"
"3","0","200","13560","98.1","114","77.9","0"
"7","0","220","13560","107.5","114","78.6","0"
"6","0","220","13560","107.5","114","79","0"
"5","0","200","13560","98.1","114","76.7","0"
"1","0","200","13560","98","114","77.8","0"
"4","0","200","13560","98","114","76","0"
"10","0","220","13560","107.7","114","79.4","0"
"8","0","220","13560","107.6","114","80.9","0"
"9","0","220","13560","107.6","114","80.9","0"
"2","0","200","13560","98","114","76.4","0"
"11","0","240","13560","110.5","113","563.6","0"
"12","0","240","13560","110.5","114","502.3","0"
"13","0","240","13560","110.5","114","508.3","0"
"14","0","240","13560","110.5","114","513","0"
"15","0","240","13560","110.6","114","512.3","0"
"18","0","260","13560","110.5","114","1201.3","0"
"16","0","260","13560","110.5","114","1212.8","0"
"27","40","200","13560","95.4","112","203.6","0"
"20","0","260","13560","110.5","114","1190","0"
"17","0","260","13560","110.5","114","1205","0"
"19","0","260","13560","110.3","114","1200.2","0"
"26","40","200","13560","94.4","113","305.4","0"
"22","0","280","13560","110.7","114","1604.3","0"
"21","0","280","13560","110.5","114","1605.7","0"
"29","40","200","13560","95.1","111","220.6","0"
"23","0","280","13560","110.4","114","1606.2","0"
"24","0","280","13560","110.6","114","1609.6","0"
"28","40","200","13560","94.7","113","285.9","0"
"30","40","200","13560","95.6","113","196.8","0"
"25","0","280","13560","110.3","114","1612.6","0"
"31","40","220","13560","95.8","112","888.7","0"
"34","40","220","13560","95.4","111","949.9","0"
"35","40","220","13560","94.5","113","971.4","0"
"33","40","220","13560","95.3","112","926.8","0"
"32","40","220","13560","94.5","113","930.7","0"
"36","40","240","13560","95.6","112","1430.3","0"
"37","40","240","13560","96.6","112","1327","0"
"40","40","240","13560","96.8","112","1363.8","0"
"38","40","240","13560","94.1","112","1531.7","0"
"39","40","240","13560","95.1","113","1465.5","0"
"41","40","260","13560","97.6","111","1787.7","0"
"42","40","260","13560","98","112","1776.5","0"
"51","100","200","13560","98","112","67.9","0"
"52","100","200","13560","98.2","112","68","0"
"53","100","200","13560","98.2","111","68.7","0"
"45","40","260","13560","97.8","112","1712.5","0"
"54","100","200","13560","98.2","110","68.5","0"
"55","100","200","13560","98.5","110","68","0"
"43","40","260","13560","98.2","112","1732.8","0"
"44","40","260","13560","96.4","112","1781.4","0"
"58","100","220","13560","103.9","112","232.8","0"
"56","100","220","13560","103.7","113","286.3","0"
"46","40","280","13560","94.5","114","1199.8","0"
"57","100","220","13560","103.9","111","257.7","0"
"59","100","220","13560","104.4","111","240.5","0"
"60","100","220","13560","104.1","110","247.1","0"
"47","40","280","13560","98.4","113","1418.7","0"
"48","40","280","13560","95","110","1198.5","0"
"49","40","280","13560","97","112","1248.7","0"
"50","40","280","13560","96.9","113","1224.8","0"
"61","100","240","13560","103.9","110","987.1","0"
"63","100","240","13560","104.6","113","969","0"
"62","100","240","13560","104.1","109","1050.8","0"
"64","100","240","13560","103.8","111","993.1","0"
"65","100","240","13560","103.9","111","975.6","0"
"66","100","260","13560","103.7","112","1492.9","0"
"67","100","260","13560","104.5","112","1476.4","0"
"68","100","260","13560","103.6","111","1495.5","0"
"70","100","260","13560","103.7","113","1503.2","0"
"69","100","260","13560","104","111","1470.7","0"
"71","100","280","13560","104.5","110","1869.8","0"
"72","100","280","13560","104.9","113","1872.2","0"
"73","100","280","13560","104.3","112","1850.5","0"
"74","100","280","13560","103.8","111","1885.7","0"
"75","100","280","13560","103.3","111","1896.4","0"
