"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"escalator-minimal_5.nlogox"
"experiment"
"04/06/2026 11:26:33:972 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-19","20","-26","62"
"[run number]","pct-walkers","lane-discipline-seconds","[step]","rush-hour-completed","avg-peak-throughput","mean-wait-seconds","mean-travel-seconds","max-rush-throughput","demand-pool-size"
"8","0","30","13560","6548","107.6","48.6","80.2","114","0"
"2","0","0","13560","6544","107.6","47.2","78.1","114","0"
"9","0","30","13560","6551","107.8","49.4","81.1","114","0"
"1","0","0","13560","6542","107.5","50.1","81.3","114","0"
"10","0","30","13560","6547","107.7","50.4","82","114","0"
"3","0","0","13560","6545","107.5","47.9","79.8","114","0"
"6","0","30","13560","6539","107.6","47.8","79.5","114","0"
"4","0","0","13560","6539","107.5","47.1","78.8","114","0"
"5","0","0","13560","6546","107.7","47.3","79.3","114","0"
"7","0","30","13560","6541","107.7","47.5","78.9","114","0"
"11","0","60","13560","6546","107.7","46.4","77.9","114","0"
"13","0","60","13560","6545","107.6","47","78.9","114","0"
"12","0","60","13560","6545","107.6","48.6","80","114","0"
"16","0","120","13560","6538","107.6","46.7","77.6","114","0"
"14","0","60","13560","6539","107.4","47.9","79.6","114","0"
"15","0","60","13560","6543","107.6","47","77.9","114","0"
"17","0","120","13560","6546","107.6","49.3","80.9","114","0"
"18","0","120","13560","6543","107.7","47.8","79.5","114","0"
"19","0","120","13560","6542","107.7","48.3","79.8","114","0"
"21","0","300","13560","6537","107.6","47.8","79.1","114","0"
"20","0","120","13560","6543","107.8","50.1","81.8","114","0"
"24","0","300","13560","6546","107.6","47.6","79.7","114","0"
"27","40","0","13560","6537","107.5","55.6","81.9","114","0"
"26","40","0","13560","6530","107.4","57.2","83","113","0"
"22","0","300","13560","6543","107.6","49.5","80.8","114","0"
"28","40","0","13560","6533","107.6","58.5","84.3","113","0"
"23","0","300","13560","6545","107.6","50","81.5","114","0"
"25","0","300","13560","6550","107.6","49.1","80.9","114","0"
"29","40","0","13560","6531","107.5","55","80.9","115","0"
"30","40","0","13560","6542","107.6","48.7","74.5","113","0"
"32","40","30","13560","6371","104.8","210.8","237.5","113","0"
"31","40","30","13560","6293","103.4","300.8","327.6","113","0"
"33","40","30","13560","6323","104","265.2","292.1","114","0"
"35","40","30","13560","6322","104.1","259.9","286.8","115","0"
"34","40","30","13560","6326","104","244.8","271.1","113","0"
"38","40","60","13560","5913","97.3","773.7","800.2","114","0"
"36","40","60","13560","5967","98.1","715.1","742.5","113","0"
"37","40","60","13560","6010","98.7","596.2","622.7","113","0"
"40","40","60","13560","6064","99.8","535.8","562.1","113","0"
"41","40","120","13560","5787","95.1","921.8","949.6","112","0"
"39","40","60","13560","5988","98.5","645.1","673","112","0"
"42","40","120","13560","5817","95.6","890.3","917.4","112","0"
"43","40","120","13560","5881","96.8","815.5","842.7","113","0"
"45","40","120","13560","5817","95.6","783.8","812.2","113","0"
"44","40","120","13560","5754","94.6","922.4","949.4","113","0"
"46","40","300","13560","5657","93","946.6","974.6","112","0"
"47","40","300","13560","5738","94.5","945.9","973.3","113","0"
"52","100","0","13560","6360","104.6","226.6","245.9","112","0"
"54","100","0","13560","6393","105","174.6","193.9","112","0"
"51","100","0","13560","6369","104.8","210.2","229.4","111","0"
"53","100","0","13560","6362","104.6","213.5","233.2","111","0"
"55","100","0","13560","6372","104.7","204.3","223.6","112","0"
"48","40","300","13560","5626","92.6","1078.2","1105.5","113","0"
"56","100","30","13560","6356","104.6","206.3","225.5","112","0"
"58","100","30","13560","6365","104.7","197.6","216.9","112","0"
"57","100","30","13560","6354","104.5","211.1","230.3","110","0"
"49","40","300","13560","5754","94.6","901.7","928.3","113","0"
"59","100","30","13560","6369","104.7","207.7","226.8","113","0"
"60","100","30","13560","6395","105.1","179.7","199","112","0"
"50","40","300","13560","5644","92.7","1006.5","1036.2","111","0"
"61","100","60","13560","6346","104.3","227.3","246.4","112","0"
"62","100","60","13560","6344","104.3","234.7","254.2","110","0"
"63","100","60","13560","6355","104.5","203","222.5","111","0"
"64","100","60","13560","6379","104.8","188.3","207.6","111","0"
"66","100","120","13560","6323","104","229.3","248.7","113","0"
"65","100","60","13560","6355","104.5","193.2","212.3","111","0"
"68","100","120","13560","6356","104.5","187.7","207","111","0"
"70","100","120","13560","6321","103.9","221.8","241.1","112","0"
"67","100","120","13560","6287","103.4","282.4","301.8","111","0"
"71","100","300","13560","6318","104","228","247.7","111","0"
"69","100","120","13560","6304","103.7","247.3","266.5","111","0"
"73","100","300","13560","6302","103.6","271.7","291","111","0"
"72","100","300","13560","6244","102.7","314.4","333.9","113","0"
"74","100","300","13560","6283","103.3","266.7","285.9","110","0"
"75","100","300","13560","6278","103.3","262.5","281.9","111","0"
